Cloud_Type,Precipitable_Water,Cloud_Top_Temperature,Updraft_Strength,Relative_Humidity,Surface_Temperature,CAPE,Wind_Shear,Cloud_Base_Height,Dew_Point,cloud_seeding
3,43.398894271085986,-19.236728594551277,24.82556766318909,64.32597744635615,19.964964350319434,1556.2435413441283,10.058761614443974,1857.195330902013,4.857249143678731,1
4,34.485300148926626,-20.83272489481076,22.93583383964153,90.13201561764649,15.68539276076524,153.49651933642772,4.00317012644828,2582.2339872180737,0.8263478525378023,1
1,22.024018895748025,-38.97431736774257,17.205868543667197,99.86189499518014,4.409226297976474,698.5756706282828,23.722658992226165,812.7222745910088,-0.1777547043219485,1
3,49.75872608388218,-26.350086894953748,28.681414308357994,51.50130026646964,-9.676782110514473,1476.0051882962482,0.49846173672592475,824.4574143065281,24.028039822572516,1
3,42.66021449046336,-24.79217524856572,6.014235465852083,94.86829328954659,14.811961095040697,930.7058512341143,4.238307721316659,1892.045900695769,-4.632231040448903,1
4,13.943931663969021,-24.04708876412398,3.2779263092886426,81.1315266799329,4.281299428112154,545.2907932835826,40.381293478148756,2865.946633395927,15.66647680509018,1
1,55.100995147161335,-16.793105230906708,25.618859008662664,98.66913095824106,26.730415035526754,1512.398525755315,38.57366724298032,1537.4943959268855,-9.98563986962888,1
1,50.23954836077429,-18.65589813092486,13.174494499012448,73.25047587632139,-8.802686736475826,968.429380343551,45.7569410202448,1317.3552506367373,10.866393429083189,1
3,57.238995231055824,-15.683796288262215,25.409065626211813,92.36939652856869,19.241390565289542,774.3229295202442,42.725771795537476,2016.7233079947146,22.058005138391835,1
2,44.914572961359795,-9.40466953831487,26.792706155862447,53.11970342991386,37.07371187530327,1391.9562523211423,34.1587781619909,2826.121501362578,0.07769329326266572,1
3,38.737835776468444,-7.480570451356257,1.8737278085721432,66.7639525039148,-1.2795366444250238,399.85277424651946,2.6166428650331417,2592.319582111559,-3.5065908659798284,1
3,28.003366995984038,-11.275076950940225,26.503942889581822,53.3508268875605,13.58247453752977,2783.237199226222,39.14243089933287,2988.70902683305,12.808792820744944,1
3,56.30006658447073,-1.7790521618026105,13.449571661082665,98.76715667395354,-5.4289004091430915,2603.106293757717,42.275540542028025,556.4214580059427,14.941049255443762,1
3,52.63351392252246,-39.270696692945535,15.312974670126966,90.84869536359184,21.28409561306763,2122.861757221606,39.954107288597726,782.1453617819056,14.081068163319344,1
4,7.487026855840417,-32.16888057265815,18.797775332796306,92.62737106229852,17.52658402981128,318.6414827653686,25.423951765401302,2023.669408416555,1.1760908007480921,1
1,6.45018359734886,-39.697485000874316,27.791478201902603,96.89826157169472,10.368276210641618,2327.631763409079,11.645091932474083,2551.4410983346243,-1.1729159244234193,1
